Muni Code,TreasuryCode,Municipality Name,MuniType,County,Record ID,Block,Lot,Permit Number,Status,Permit Status Description,Permit Date,Certificate Date,Permit Type,Permit Type Description,Update,Certificate Type,Certificate Type Description,Certificate Count,Building Fee,Plumbing Fee,Electrical Fee,Fire Fee,DCA Fee,Certificate Fee,Elevator Fee,Other Fee,Total Fee,Volume,Square Feet,Construction Cost,Sale Units Gained,Rental Units Gained,Use Group,Use Group Description,Census Item Number,Census Item Number Description,Public,Storage,Manufactured,Hud Seal,Source,Source Description,Version,Process Date,PK
0906,0906,JERSEY CITY,CITY,HUDSON,00054392,22503,15.03,20220167,P,Permit,01/18/2022,,04,New,,,,0,872,1390,605,85,120,0,0,0,3072,32300,4026,210500,2,0,R-3,"One and two family units, 5 lodgers or less each",101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054392
0906,0906,JERSEY CITY,CITY,HUDSON,00054396,22503,15.01,20220186,P,Permit,01/19/2022,,04,New,,,,0,872,1390,605,85,120,0,0,0,3072,32300,4062,210500,2,0,R-3,"One and two family units, 5 lodgers or less each",101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054396
0906,0906,JERSEY CITY,CITY,HUDSON,00054408,5602,12,20220287,P,Permit,01/26/2022,,04,New,,,,0,683,1350,525,85,94,0,0,0,2737,25284,2906,168500,2,0,R-5,International Residential Code,101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,03/31/2022,090600054408
0906,0906,JERSEY CITY,CITY,HUDSON,00054421,16003,3,20212007+F,P,Permit,01/10/2022,,04,New,X,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,Business Uses,999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054421
0906,0906,JERSEY CITY,CITY,HUDSON,00054441,19003,8.01,20201989+H,P,Permit,01/18/2022,,04,New,X,,,0,50,100,95,75,0,0,0,0,320,0,0,40000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054441
0906,0906,JERSEY CITY,CITY,HUDSON,00054470,403,28,20220054,P,Permit,01/10/2022,,04,New,,,,0,1111,1370,605,85,153,0,0,0,3324,41155,4180,286000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054470
0906,0906,JERSEY CITY,CITY,HUDSON,00054486,1602,12,20220216,P,Permit,01/20/2022,,04,New,,,,0,1099,1390,580,85,151,0,0,0,3305,40692,4325,459200,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054486
0906,0906,JERSEY CITY,CITY,HUDSON,00054525,603,39.01,20220006,P,Permit,01/03/2022,,04,New,,,,0,1203,1630,605,87,165,0,0,0,3690,44572,4052,338000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054525
0906,0906,JERSEY CITY,CITY,HUDSON,00054527,603,39.02,20220004,P,Permit,01/03/2022,,04,New,,,,0,1203,1630,605,87,165,0,0,0,3690,44572,8052,338000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054527
0906,0906,JERSEY CITY,CITY,HUDSON,00054528,603,39.03,20220007,P,Permit,01/03/2022,,04,New,,,,0,1203,1650,605,87,165,0,0,0,3710,44572,4052,328000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054528
0906,0906,JERSEY CITY,CITY,HUDSON,00054539,9501,4.01,20220027,P,Permit,01/05/2022,,04,New,,,,0,1215,2410,25,0,167,0,0,0,3817,45000,15240,2010000,598,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,05/19/2022,090600054539
0906,0906,JERSEY CITY,CITY,HUDSON,00054555,18104,64,20220050,P,Permit,01/10/2022,,04,New,,,,0,872,1590,615,85,120,0,0,0,3282,32300,4812,213000,2,0,R-3,"One and two family units, 5 lodgers or less each",103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,04/07/2022,090600054555
0906,0906,JERSEY CITY,CITY,HUDSON,00054560,802,6,20220021,P,Permit,01/04/2022,,04,New,,,,0,1048,1620,605,85,144,0,0,0,3502,38818,3840,235000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/31/2022,090600054560
0906,0906,JERSEY CITY,CITY,HUDSON,00054582,5603,38,20220210,P,Permit,01/20/2022,,04,New,,,,0,872,1350,655,85,120,0,0,0,3082,32300,4654,212000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/31/2022,090600054582
0906,0906,JERSEY CITY,CITY,HUDSON,00054585,704,24,20220220,P,Permit,01/21/2022,,04,New,,,,0,872,1350,605,85,120,0,0,0,3032,32300,4646,204000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/31/2022,090600054585
0906,0906,JERSEY CITY,CITY,HUDSON,00054591,2306,22,20220279,P,Permit,01/26/2022,,04,New,,,,0,1215,1470,580,85,167,0,0,0,3517,45000,3340,273000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/31/2022,090600054591
0906,0906,JERSEY CITY,CITY,HUDSON,00054595,6001,36,20220296,P,Permit,01/26/2022,,04,New,,,,0,3564,2090,25,0,490,0,0,0,6169,132000,132000,5350000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,07/07/2022,090600054595
0906,0906,JERSEY CITY,CITY,HUDSON,00054604,26601,20,20220322,P,Permit,01/28/2022,,04,New,,,,0,1192,1510,515,85,164,0,0,0,3466,44143,3485,148000,2,0,R-3,"One and two family units, 5 lodgers or less each",103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/31/2022,090600054604
0906,0906,JERSEY CITY,CITY,HUDSON,00054606,9606,29.01,20220125,P,Permit,01/14/2022,,04,New,,,,0,202,0,25,0,28,0,0,0,255,7500,2500,385000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,09/07/2022,090600054606
0906,0906,JERSEY CITY,CITY,HUDSON,00054620,14302,10,20193492+N,P,Permit,01/26/2022,,04,New,X,,,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,R-5,International Residential Code,999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054620
0906,0906,JERSEY CITY,CITY,HUDSON,00054634,10704,34.01,20220065,P,Permit,01/11/2022,,04,New,,,,0,5113,5620,3610,192,702,0,0,0,15237,189352,20185,5080000,19,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/22/2022,090600054634
0906,0906,JERSEY CITY,CITY,HUDSON,00054637,3704,53,20220208,P,Permit,01/20/2022,,04,New,,,,0,872,1540,580,85,120,0,0,0,3197,32300,4200,208500,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054637
0906,0906,JERSEY CITY,CITY,HUDSON,00054638,2204,20,20220204,P,Permit,01/20/2022,,04,New,,,,0,872,1530,580,85,120,0,0,0,3187,32300,4200,208300,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054638
0906,0906,JERSEY CITY,CITY,HUDSON,00054640,2205,37,20220206,P,Permit,01/20/2022,,04,New,,,,0,872,1540,580,85,120,0,0,0,3197,32300,4206,208500,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054640
0906,0906,JERSEY CITY,CITY,HUDSON,00054660,20803,71.02,20220149,P,Permit,01/18/2022,,04,New,,,,0,842,1430,665,85,116,0,0,0,3138,31200,3900,294700,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054660
0906,0906,JERSEY CITY,CITY,HUDSON,00054662,20803,71.01,20220124,P,Permit,01/14/2022,,04,New,,,,0,842,1430,645,85,116,0,0,0,3118,31200,3900,294700,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,02/07/2022,090600054662
0906,0906,JERSEY CITY,CITY,HUDSON,00054786,3903,6,20173248+E,P,Permit,02/14/2022,,04,New,X,,,0,50,50,0,0,0,0,0,0,100,0,0,25000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600054786
0906,0906,JERSEY CITY,CITY,HUDSON,00054903,2402.01,1,20220519,P,Permit,02/10/2022,,04,New,,,,0,77760,335,1037,85,10685,0,0,0,89902,2880000,80000,5317310,0,0,S-1,"Storage building, moderate hazard",999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,05/19/2022,090600054903
0906,0906,JERSEY CITY,CITY,HUDSON,00054911,15004,15.01,20211167+E,P,Permit,02/08/2022,,04,New,X,,,0,50,0,0,0,0,0,0,0,50,1,1,40000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600054911
0906,0906,JERSEY CITY,CITY,HUDSON,00054965,5803,12,20220559,P,Permit,02/16/2022,,04,New,,,,0,942,1480,625,85,129,0,0,0,3261,34900,3490,239000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600054965
0906,0906,JERSEY CITY,CITY,HUDSON,00054967,3704,11,20220396,P,Permit,02/03/2022,,04,New,,,,0,1002,1520,605,85,138,0,0,0,3350,37120,3712,225000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600054967
0906,0906,JERSEY CITY,CITY,HUDSON,00054974,4306,33,20220627,P,Permit,02/22/2022,,04,New,,,,0,872,1380,580,85,120,0,0,0,3037,32300,4200,210500,2,0,R-3,"One and two family units, 5 lodgers or less each",101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600054974
0906,0906,JERSEY CITY,CITY,HUDSON,00054984,25601,19,20220586,P,Permit,02/18/2022,,04,New,,,,0,702,1470,580,85,96,0,0,0,2933,25989,3847,366000,2,0,R-3,"One and two family units, 5 lodgers or less each",101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600054984
0906,0906,JERSEY CITY,CITY,HUDSON,00055007,1401,13,20220400,P,Permit,02/03/2022,,04,New,,,,0,990,1410,700,85,136,0,0,0,3321,36674,3334,433500,2,0,R-3,"One and two family units, 5 lodgers or less each",103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055007
